Symbol,Quanity,Last Price,Cost/Share,Total Gain,Date Acquired
VXUS,40,65.59,63.63,78.4,02/24/2021
VXUS,25,65.59,63.1275,61.5625,03/12/2021
VXUS,0.1637,65.59,61.6282,0.6486,03/25/2021
VXUS,0.5079,65.59,66.0598,-0.2386,06/24/2021
VWO,55,51.64,54.9061,-179.6355,02/22/2021
VWO,0.0743,51.64,50.6299,0.075,03/25/2021
VWO,0.2858,51.64,54.0164,-0.6793,06/24/2021
VUG,10,297.1,259.38,377.2,02/24/2021
VUG,0.0151,297.1,252.5793,0.6714,03/30/2021
VUG,0.0131,297.1,286.3999,0.1397,06/29/2021
VTV,23,141.19,120.6374,472.71,02/16/2020
VTV,27,141.19,96.95,1194.48,05/22/2020
VTV,0.3416,141.19,104.7485,12.4477,09/30/2020
VTV,0.3363,141.19,118.121,7.7593,12/30/2020
VTV,0.2711,141.19,132.0177,2.4866,03/30/2021
VTV,0.2746,141.19,137.6897,0.9612,06/29/2021
VTI,41.8022,228.93,121.3919,4495.3277,03/24/2020
VTI,0.1978,228.93,130.2831,19.5124,03/30/2020
VTI,0.1656,228.93,170.954,9.6008,09/30/2020
VTI,8,228.93,169.455,475.8,10/29/2020
VTI,0.202,228.93,194.1611,7.0233,12/30/2020
VTI,10,228.93,206.686,222.44,03/12/2021
VTI,0.198,228.93,204.7767,4.7816,03/30/2021
VTI,10,228.93,214.8482,140.818,05/21/2021
VTI,0.2135,228.93,223.1381,1.2368,06/29/2021
VBK,5,284.37,281.432,14.69,03/17/2021
VBK,5,284.37,274.7083,48.3085,03/18/2021
VBK,0.0072,284.37,266.5698,0.1276,03/30/2021
VBK,0.0104,284.37,291.9,-0.0784,06/29/2021
TDOC,5.12,146.79,65.152,417.9864,05/27/2020
TDOC,8.88,146.79,158.598,-104.8548,07/15/2020
TDOC,11,146.79,199,-574.31,01/05/2021
T,100,28.09,29.9169,-182.69,07/20/2020
T,1.9056,28.09,27.2885,1.5273,11/02/2020
T,1.8434,28.09,28.7463,-1.2098,02/01/2021
T,1.7035,28.09,31.6697,-6.0981,05/03/2021
T,1.9324,28.09,28.3793,-0.559,08/02/2021
SQ,5,273.08,241.1114,159.843,03/17/2021
SQ,5,273.08,223.8175,246.3125,03/18/2021
SPG,10,132.11,62.5,696.1,05/27/2020
SPG,15,132.11,60.7593,1070.26,07/20/2020
SPG,0.4864,132.11,66.82,31.7558,10/23/2020
SPG,0.3563,132.11,92.9797,13.9425,01/22/2021
SPG,0.2891,132.11,116.2399,4.5874,04/23/2021
SPG,0.2965,132.11,123.3883,2.5856,07/23/2021
ROKU,15,379.26,125,3813.9,06/19/2020
ROKU,10,379.26,222.755,1565.05,10/22/2020
ROKU,5,379.26,197.5479,908.5605,11/03/2020
PLTR,100,22.92,25.98,-306,01/12/2021
PLTR,100,22.92,25,-208,02/25/2021
NIO,25,44.22,48.4078,-104.695,02/23/2021
IJS,25.9399,102.24,77.6605,637.5905,02/16/2020
IJS,0.1201,102.24,61.4488,4.899,09/29/2020
IJS,0.0884,102.24,100.5662,0.148,03/31/2021
IJS,0.0606,102.24,107.0604,-0.2922,06/16/2021
IJH,5,271.49,264.43,35.3,03/17/2021
IJH,0.0128,271.49,260.6599,0.1387,03/31/2021
IJH,0.0137,271.49,270.059,0.0196,06/16/2021
IIPR,20,227.99,124.5,2069.8,10/23/2020
IIPR,0.1333,227.99,185.9888,5.6004,01/15/2021
IIPR,0.144,227.99,184.6295,6.2422,04/15/2021
IIPR,0.1374,227.99,206.5898,2.9408,07/15/2021
FSLY,10,42.3,78.67,-363.7,07/16/2020
FAST,109.4789,54.87,38.2212,1822.6873,02/16/2020
FAST,1.5211,54.87,36.5262,27.9028,02/26/2020
FAST,0.5749,54.87,48.27,3.7943,11/24/2020
FAST,0.906,54.87,49.26,5.0827,12/22/2020
FAST,0.6693,54.87,47.0499,5.2339,03/03/2021
FAST,0.5982,54.87,52.9598,1.1427,05/25/2021
DKNG,25,51.98,39.85,303.25,06/23/2020
DKNG,25,51.98,35,424.5,06/25/2020
DKNG,50,51.98,35.7617,810.915,10/30/2020
CWH,30,40.73,34.5,186.9,08/06/2020
CWH,70,40.73,29.5,786.1,08/26/2020
CWH,0.2767,40.73,28.9111,3.2704,09/28/2020
CWH,0.3113,40.73,28.9111,3.6792,09/28/2020
CWH,3.6449,40.73,27.5976,47.8659,12/29/2020
CWH,0.6788,40.73,35.3099,3.6794,03/29/2021
CWH,0.6462,40.73,40.5881,0.0917,06/29/2021
CGC,100,19.47,18.85,62,10/20/2020
BND,35,85.95,86,-1.75,02/22/2021
BND,0.0528,85.95,85.445,0.0267,03/04/2021
BND,0.0794,85.95,84.9297,0.081,04/07/2021
BND,0.0537,85.95,85.3954,0.0298,05/06/2021
BND,0.0554,85.95,85.31,0.0355,06/04/2021
BND,0.0539,85.95,86.385,-0.0235,07/07/2021
BND,0.0553,85.95,86.7399,-0.0437,08/05/2021
AMECX,2230.352,26.1,23.5026,5793.0672,02/16/2020
AMECX,20.154,26.1,23.5025,52.3494,03/16/2020
AMECX,17.649,26.1,21.0397,89.3089,06/15/2020
AMECX,16.881,26.1,22.17,66.3423,09/15/2020
AMECX,16.147,26.1,23.35,44.4042,12/16/2020
AMECX,9.003,26.1,23.35,24.7583,12/16/2020
AMECX,15.414,26.1,24.7295,21.1254,03/16/2021
AMECX,14.696,26.1,26.1105,-0.1544,06/15/2021
ABNB,15,147.95,140,119.25,01/04/2021
ABALX,1401.228,33.13,29.3268,5329.1139,02/16/2020
ABALX,5.885,33.13,29.3254,22.39,03/16/2020
ABALX,0.484,33.13,27.624,2.6649,06/15/2020
ABALX,5.091,33.13,27.639,27.9548,06/15/2020
ABALX,7,33.13,27.64,38.43,06/15/2020
ABALX,4.885,33.13,29.0624,19.8701,09/15/2020
ABALX,36.568,33.13,29.88,118.8478,12/16/2020
ABALX,4.768,33.13,29.8784,15.5038,12/16/2020
ABALX,4.71,33.13,31.1231,9.4523,03/16/2021
ABALX,8.003,33.13,32.709,3.3694,06/15/2021
ABALX,4.496,33.13,32.7091,1.8925,06/15/2021